Date of Exp,Star Rating,Reviews
2023-05-09,1,"The garage refused to investigate a warrantee fault whilst my vehicle was in for its first service. Further more, it is now a six week wait to book it in with the provision of a curtesy car. The garage don't offer any means of transport for customers to a place of work or home, whilst they retain the car for a full day."
2023-05-25,5,George Eden was fantastic. A pleasure to deal with. Communicated with me throughout the process and even offered me a courtesy car because my new car was delayed. I will definitely be recommendinf friends and family to mercedes
2023-05-23,1,"Extremely poor service from Sandhurst Inchcape. Very rude and cold manager, not willing to negotiate anything or provide the fantastic customer service I have always received and expected from Toyota. We had gone into the branch to purchase a car today to be told it had gone up when it was still listed the same online. They tried to rush us into buying it and said another person was about to and we needed to compete. Will never visit again. Went to Jemca this afternoon and had a far better experience !"
2023-05-19,5,"As always I have had a very satisfying visit to Inchcape Toyota in Derby. Their people are friendly, efficient, understanding and never pressurising. This was the fourth car I have bought from them and the service is always consistent. I paid another unexpected visit two days later on a Sunday to try and find out how to disable the alarm. Their representative on duty knew exactly what to do and yet again I left happy. You may get a similar service from other dealers but when the car is great, the price is great and the service is great.........why go anywhere else?"
2023-05-18,5,The customer agent Brook was superb. I found both her and her manager very professional knowledgeable and enjoyable to deal with. Highly recommend this dealership. I'll be back and worth the distance. We'll done and thank you for a great customer experience. Richard
2023-05-19,1,"The very long wait for my car to be delivered. As it took 15 months longer then planned to deliver a car ordered in 2021 for delivery around March 2022. Throughout the whole delay due to no fault of my own not once was any compensation or gesture of good will offered for the delay. This will probably be the last car I get from Inchcape, having in the past purchased 2 Polo, Golf, Up and 2 Tiguan."
2023-05-19,5,"Inchcape Toyota North Nottingham NG6 0AA
I went to leave my car to change the internal light, great service both times I went and the car came back fixed and very clean. Congratulations to all for the wonderful service."
2023-05-13,5,"Our car went in for a major service, we were kept updated throughout the day by text/ email, and then when the car was ready to be collected. Very informative and helpful."
2023-05-08,5,"Great experience, friendly and helpful team. They managed to show me the car and take me for test drive without pre-booked appointment, no question was too much. I left the dealership with signed purchase. Part exchanged my old car and collected the new one weak later. Easy and quick handover. I can highly recommend Inchcape Toyota Sandhurst basis on my positive experience."
2023-05-23,5,"Elliot
Went above and beyond

Very professional and easy to talk to

Sold my Jaguar with very few hiccups all of which Elliot sorted out straight away


Paul"
2023-05-09,1,"First (and last) time having to deal with Inchcape Audi Stockport.
Having waited almost a year for the car we required we struggled to find out about delivery with no lead time given.
When it finally had arrived the night before collection the vehicle was amongst a number vandalised on site. Ours being the worst as it was left unlocked! Druggies had been in it using drugs and with a dog. Damage done meant we had to reject the vehicle.
Not even a phone call - we received an email that very fortunately we saw just minutes before our current vehicle was being collected.
We have incurred costs, inconvenience, stress, poor communication throughout and are now back to square one in ordering another vehicle - yet the dealership wouldn’t even discuss face to face and passed our complaint to head office and all we’ve had is scripted answers.
Having read numerous other poor reviews we now feel we’ve had a lucky escape from this company.

Inchcape response below and elsewhere keeps mentioning “secure area”. Obviously not - a number of vehicles were damaged and ours was left unlocked - I don’t think anyone would regard that as secure!"
2023-04-10,5,"I purchased a used car from Cheshire Oaks Audi, the service was excellent from start to finish."
2023-05-20,5,"Simple, easy and quick - exactly the way I like to buy a car. Stuart at Southport Mercedes was great to deal with, he managed to get everything sorted and the deal was done ✅ - thank you for a great sale"
2023-04-18,1,"Failed home delivery twice , salesperson failed to deliver on what was promised at sale . Would not buy from that branch ever again"
2023-05-23,5,"Had a service @ Landrover, Chester yesterday YD66NYU dealt with Rebecca who was first class from start to finish. Well done!"
2023-05-12,4,"Sold a car in the past couple of weeks - Inchcape gave best valuation of several online car buying sites. Vehicle originally came from Inchcape anyway and ended up being returned to same dealer as purchased from, so I do not know if that had a more favourable impact on the whole process. Quite a lot of to and fro contact with the Buyer, and my queries about the process were answered quickly enough and with a good level of assistance. I was hesitant about the online process and verification for payment, due to some conflicts of info on website and buyer. However all was resolved. Dropped car off at dealer and payment was issued the same day once the car was checked over. I would use this service again. Thanks to JV for his assistance."
2023-05-12,5,"Dominic is an excellent Mercedes salesman who goes above and beyond for his customers. He is knowledgeable, patient, transparent, and dedicated to providing exceptional customer service. I highly recommend him to anyone in the market for a Mercedes."
2023-05-05,5,"Very delighted with my recent visit at Cheshire Oaks Audi. Colin the senior service advisor looked after me and my car, Colin has looked after my car on a number of visits and is always professional, and informative as well as always providing an excellent experience whenever bringing my vehicle in. Colin always goes above and beyond!"
2023-05-12,4,"Booking in process for MOT and Service very easy, arrival and handover straightforward. On return for collection was welcomed with a nice drink from reception staff THANKYOU. I’ve marked them down one star because
1. I had asked for my stop start to be checked as I’ve noticed it’s not coming on. I wasn’t updated on this and I felt un listened too,
2. As a long standing customer of Mercedes I’ve grown used to my car getting a valet whilst there. And on this occasion my car was not done! So feeling under valued by this company."
2023-05-02,5,"I recently sold a car using Inchcape Group Used Car buying service, Inchcape had serviced and maintained the car so knew the vehicle's history. The ""sell my car"" buyer was very helpful in guiding me through the process, was supportive when I had issues to resolve with DVLA and arranged collection of the vehicle when the road fund tax had been cancelled. I received a fair price and payment immediately. The buyer I dealt with made what could have been an extremely stressful situation manageable for me and I would recommend this service."
2023-02-16,1,"Twice they tried to give me a car with a faulty gearbox and lied about sending it to be fixed. Told me to sell my van privately so i get more money then they offered as a px, so now ive got my refund from Inchcape i have no vehicle!"
2023-05-18,5,Excellent service throughout especially by Customer Services. My Golf GTI was collected and returned on time by the Service Manager so I was confident it was in safe hands.
2023-05-12,4,"The service I received was excellent from Will

I would have given 5 stars but there was an elements of confusion in communication where figures were quoted based on the polo"
2023-05-18,3,"Car went in with two issues - brakes - straightforward - indicator volume level less so.
Investigation of the latter seems to be limited to 'the computer says not resolved and no recommendations for further action"
2023-05-03,5,"My car was collected by a very pleasant and professional man. He went through what was being done and said he would also report an issue that we hadn’t made the service dept aware of, which they very kindly rectified at no extra cost. The car was cleaned and valeted to a high standard and I can’t fault the service I received. The car was returned to me later the same day."
2023-05-04,1,"Inchcape supplied a VW E-Up in December 2022 and when it was delivered there were 2 parts missing.
The unique part that clips onto the dashboard to hold a mobile device was not supplied and neither was the device connection cable ( this small part would not have been an issue)
Despite numerous emails, Inchcape have been unable to fulfil the order for the missing parts.
It's not possible to fit a generic part because nothing exists.
After 5 months of waiting they are still unable to provide a delivery date.
Incredibly appalling service without any apology from Inchcape."
2023-05-10,1,"Very disappointing. Had BMWs for many years.
Took my car in to Colchester branch after a recall 31st March… when I collected it, it had a fault indicator that they said was a result of a software upgrade.
It wasn’t!
They had actually left a temp sensor disconnected from the manifold (diagnosed by a local independent garage)
When I contacted them their response was excuses and frankly lies.
Now I know we all make mistakes.. but for heavens sake by big, own up and swallow your over inflated pride.
Never ever again!
Question is ….where (if at all) do I purchase my next BMW? as this company seems to have the franchise with in my locality!


Follow Up:
That reply re-enforces the content of my main review.
Weak words and a total failure to own up and make any attempt to make amends.
Not enough to alter my intention to move away from BMW’s…."
2023-05-03,5,"Extremely happy with the helpful service when buying my new Lexus.

I have been a Lexus customer for many years and the team at Lexus Guildford are brilliant, so thank you all.
Especially Carl who was very patient and knowledgeable, helping me make my decision to buy my new vehicle."
2023-04-28,5,"I’ve bought 3 cars from inchscape Chester and they never fail to deliver excellent customer service, they really look after you through the whole process. Staff went above and beyond to make sure I was happy with everything as we went along, thanks guys! You’re never left waiting for long, everything is fully explained , there’s no hard sell techniques and the late (coffee) is lovely!!
Would definitely go back again! 😊"
2023-03-29,5,"I bought a used VW at the end of March and experienced a few issues with the vehicle that only came to light after the sale. I'm pleased to say that the team were very helpful and worked to resolve them in a timely manner. I'm extremely happy with the end result. Many thanks to all those involved, especially Kimberley, Jamie and Thomas."
2023-05-17,5,Alex as been very helpful (I had to isolate with covid) and he got the car ready for me I would like to thank all involve
2023-05-22,5,"I visited Mercedes-Benz of North Wales to purchase an approved used Mercedes , The sales executive who I dealt with was very knowledgable and helpful and made the whole process really easy and hassle free , so far I am pleased with the whole process and would like to thank Jake Davies for his assistance and professionalism"
2023-03-09,3,"I am not sure where to start on this and my chronology of events is interesting and starts on 9th March when the car was taken in due to a malfunction in the gearbox to the 22nd April when I was able to finally collect the car - issues were due to the war in Ukraine and Brexit apparently, but thankfully this was all under warranty.

I started off with two stars as the communication was terrible, but upgraded halfway through typing this to three due to the fact that the one person their (or it felt like there was only one person who would come back to me) was briliant and did what she could to help me. So Tanya, thank you for all that you did for me and giving me one of your cars for six weeks.

Thank you!"
