Date of Exp,Star Rating,Reviews
8/23/18,2,"Booked in for an MOT, arrived at 8am waited for 20 minuets to be told unable to do MOT due to ramp being broke. Would have been nice to have been contacted before, lots of inconvenience caused."
8/23/18,5,Excellent customer service and the staff made sure that we got the car specification that we wanted - all within our price range!
8/23/18,5,"Today at Audi maidstone i was greeted by Ben who explained in detail how long the job would take and after showing me where the refreshments were they took my car and did the work that was required. The job took no longer than was 1st explained to me by Ben.
Overall a very good professional service one which i would recommend."
8/23/18,5,"Had a small problem, they sorted out for me and then washed and vacuumed my car for me ... brilliant."
8/23/18,4,"Seamless, painless, hassle free process.
Car was serviced as expected when expected, came back mini valeted and dent free. Equivalent level loan car, which is appreciated.
Thank you"
8/23/18,1,"Disappointed! Bad customer service .
Usually very good but not today .
Lady at reception desk welcoming customer really rude . Name is Dot . Should not be working there face to customers
Aylin Taylor"
8/23/18,5,From the moment we arrived at Coopers Reading we were treated extremely well. There is a air of efficient professionalism about the place. We were kept fully informed about what was going on and the car was returned to us after its check up and sat nav update in showroom condition. The best part was that it was completely free of charge
8/23/18,5,"Wanted a car, went in, saw one, bought one. Simple!"
8/23/18,5,Nick Jimson at Cooper Stockton was very helpful and professional. He kept me fully updated 're my new car and on delivery explained all the features on it. Would highly recommend him if buying a new BMW.
8/23/18,5,"First time using southport.
had a great experience from dropping car of. being handed a courtesy car and they called to advise when mine was ready to collect.
collected car had been cleaned and serviced.
very pleased and could not fault them at all."
8/23/18,5,Ist class service as always.
8/23/18,5,"Inchcape VW Colchester have been looking after my latest car for the last 5 years and 100,000 miles, (im on my 4th Passat which they have looked after) all work has been carried out to a really high standard and i have never had any issues with the quality of the work, all the staff work well together as a team to ensure everything is completed on time and as quoted, the service advisors are brilliant and lead by a very committed manager."
8/23/18,4,"Great experience of 30K miles service & MoT at Cooper Thames Dutton, with special thanks to Matthew at Service Desk, who responded excellently to each of my questions. Dropped a star only due to 2 very trivial points - light switch left in off position (my normal setting is auto) so I was driving in the dark without lights that night, until flashed! I also suspect tyre pressures weren’t checked, as they were at minimum level before and after - and I note this action isn’t included on the service checklist. Everything else was excellent."
8/23/18,5,Excellent service which far exceeded my expectations . I received a video of the health check performed on my car and it was explained to me when I collected the car also . Absolutely amazing service and lovely polite and attentive staff.
